time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/explained_variance,train/std,train/n_updates,train/policy_objective,train/value_loss
2304,451.29,536,1443.4229584799998,1097728,476,0.001,0.009367723949253559,1.0,0.9993652901030146,0.21592263877391815,535,0.07792756706476212,1.965937615931034
2310,449.31,537,1434.2318797499997,1099776,475,0.001,0.009727858938276768,1.0,0.9994833901291713,0.2158120721578598,536,0.07709090411663055,0.8999841403216123
2314,449.2,538,1432.0506551400001,1101824,476,0.001,0.009830507449805737,1.0,0.9992398725007661,0.21597641706466675,537,0.06303764879703522,1.1510586200281978
2319,451.58,539,1439.59484056,1103872,475,0.001,0.009707125835120678,1.0,0.9987759809009731,0.21612972021102905,538,0.04647617042064667,1.279569948837161
2322,452.2,540,1438.83016714,1105920,476,0.001,0.006482148077338934,1.0,0.9975357698276639,0.21500922739505768,539,0.042321257293224335,0.7312630655243992
2327,446.85,541,1423.05979384,1107968,476,0.001,0.00945116113871336,1.0,0.9991409795475192,0.21520335972309113,540,0.057928621768951416,1.0408166032284498
2331,450.39,542,1431.91113144,1110016,475,0.001,0.006605758797377348,1.0,0.9991271881153807,0.21524791419506073,541,0.042555805295705795,2.471207005903125
2336,449.74,543,1428.3232455700002,1112064,475,0.001,0.009337316267192364,1.0,0.9950618897564709,0.21505974233150482,542,0.07101734727621078,0.6389197750017047
2339,454.87,544,1442.48698447,1114112,476,0.001,0.0065010711550712585,1.0,0.9987441786797717,0.21537746489048004,543,0.061181701719760895,1.9483280979096889
2344,449.4,545,1425.4837504400002,1116160,476,0.001,0.009526005946099758,1.0,0.9990014537470415,0.21535860002040863,544,0.052898257970809937,0.5688188869506121
2347,447.9,546,1420.65799245,1118208,476,0.001,0.006378673482686281,1.0,0.9972338818479329,0.21540528535842896,545,0.044765256345272064,6.158877478539944
2352,448.09,547,1421.85732567,1120256,476,0.001,0.006369899492710829,1.0,0.9984992371173576,0.21547068655490875,546,0.06406697630882263,2.3896152071654795
